Index;Operating Airline;Published Airline;GEO Summary;GEO Region;Activity Type Code;Price Category Code;Terminal;Boarding Area;Passenger Count;Adjusted Passenger Count;Year;Month
1;18;18;1;9;1;0;1;2;27271;27271;2005;7
2;18;18;1;9;2;0;1;2;29131;29131;2005;7
3;18;18;1;9;3;0;1;2;5415;10830;2005;7
4;4;4;2;3;1;1;1;2;35156;35156;2005;7
5;4;4;2;3;2;1;1;2;34090;34090;2005;7
6;6;6;2;1;1;1;4;7;6263;6263;2005;7
7;6;6;2;1;2;1;4;7;5500;5500;2005;7
8;7;7;2;5;1;1;4;1;12050;12050;2005;7
9;7;7;2;5;2;1;4;1;11638;11638;2005;7
10;9;9;2;2;1;1;4;7;4998;4998;2005;7
11;9;9;2;2;2;1;4;7;4962;4962;2005;7
12;10;10;1;9;1;0;4;1;8055;8055;2005;7
13;10;10;1;9;2;0;4;1;7984;7984;2005;7
14;11;11;1;9;1;1;4;1;36641;36641;2005;7
15;11;11;1;9;2;1;4;1;39379;39379;2005;7
16;11;11;1;9;3;1;4;1;3678;7356;2005;7
17;11;11;2;3;1;1;4;1;7977;7977;2005;7
18;11;11;2;3;2;1;4;1;8837;8837;2005;7
19;11;11;2;6;1;1;4;1;6969;6969;2005;7
20;11;11;2;6;2;1;4;1;10046;10046;2005;7
21;11;11;2;6;3;1;4;1;2266;4532;2005;7
22;12;12;2;1;1;1;4;7;6545;6545;2005;7
23;12;12;2;1;2;1;4;7;6094;6094;2005;7
24;14;14;1;9;1;1;3;5;166577;166577;2005;7
25;14;14;1;9;2;1;3;5;160890;160890;2005;7
26;15;14;1;9;1;1;3;5;5493;5493;2005;7
27;15;14;1;9;2;1;3;5;5213;5213;2005;7
28;17;17;2;1;1;1;4;1;5041;5041;2005;7
29;17;17;2;1;2;1;4;1;4744;4744;2005;7
30;19;30;1;9;1;1;1;3;1552;1552;2005;7
31;19;30;1;9;2;1;1;3;1484;1484;2005;7
32;21;21;2;5;1;1;4;1;325;325;2005;7
33;21;21;2;5;2;1;4;1;545;545;2005;7
34;23;23;2;5;1;1;4;1;20632;20632;2005;7
35;23;23;2;5;2;1;4;1;21686;21686;2005;7
36;24;24;2;1;1;1;4;1;11010;11010;2005;7
37;24;24;2;1;2;1;4;1;9628;9628;2005;7
38;25;25;2;1;1;1;4;1;13638;13638;2005;7
39;25;25;2;1;2;1;4;1;11255;11255;2005;7
40;30;30;1;9;1;1;1;3;97510;97510;2005;7
41;30;30;1;9;2;1;1;3;93791;93791;2005;7
42;33;33;2;1;1;1;4;7;14142;14142;2005;7
43;33;33;2;1;2;1;4;7;12132;12132;2005;7
44;36;36;1;9;1;0;1;2;19234;19234;2005;7
45;36;36;1;9;2;0;1;2;18368;18368;2005;7
46;37;37;1;9;1;1;1;3;7579;7579;2005;7
47;37;37;1;9;2;1;1;3;7658;7658;2005;7
48;38;11;1;9;1;1;1;2;5284;5284;2005;7
49;38;11;1;9;2;1;1;2;5257;5257;2005;7
50;39;39;2;5;1;1;4;1;4540;4540;2005;7
51;39;39;2;5;2;1;4;1;4341;4341;2005;7
52;40;40;1;9;1;0;4;1;10843;10843;2005;7
53;40;40;1;9;2;0;4;1;10967;10967;2005;7
54;41;41;2;1;1;1;4;1;9195;9195;2005;7
55;41;41;2;1;2;1;4;1;9086;9086;2005;7
56;44;44;2;5;1;1;4;1;9978;9978;2005;7
57;44;44;2;5;2;1;4;1;9587;9587;2005;7
58;45;45;2;1;1;1;4;1;6153;6153;2005;7
59;45;45;2;1;2;1;4;1;5646;5646;2005;7
60;47;47;2;5;1;1;4;7;22389;22389;2005;7
61;47;47;2;5;2;1;4;7;20511;20511;2005;7
62;48;71;1;9;1;1;1;2;2636;2636;2005;7
63;48;71;1;9;2;1;1;2;2535;2535;2005;7
64;50;50;2;6;1;1;4;7;7751;7751;2005;7
65;50;50;2;6;2;1;4;7;7845;7845;2005;7
66;52;52;1;9;1;1;1;1;1797;1797;2005;7
67;52;52;1;9;2;1;1;1;3238;3238;2005;7
68;53;53;1;9;1;1;1;3;64231;64231;2005;7
69;53;53;1;9;2;1;1;3;62049;62049;2005;7
70;53;53;2;1;1;1;4;1;7229;7229;2005;7
71;53;53;2;1;2;1;4;1;6554;6554;2005;7
72;55;55;2;1;1;1;4;1;12828;12828;2005;7
73;55;55;2;1;2;1;4;1;10269;10269;2005;7
74;60;60;2;1;1;1;4;7;19211;19211;2005;7
75;60;60;2;1;2;1;4;7;17462;17462;2005;7
76;61;30;1;9;1;1;1;3;7262;7262;2005;7
77;61;30;1;9;2;1;1;3;6586;6586;2005;7
78;61;70;1;9;1;1;3;6;103279;103279;2005;7
79;61;70;1;9;2;1;3;6;102023;102023;2005;7
